TotalEnvSteps,Evaluation/MaxReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/Iteration,Evaluation/AverageReturn
172154,193.93359121198552,1.0,429,25.783495906024008,81.74101289351749,35.61273731462248,42,85.50735452598603
176160,230.67005651661646,1.0,426,27.169658295637742,82.37916537019031,35.58139773889636,43,86.23875495169375
180160,212.8888955738941,1.0,427,27.98046525076086,82.03741397202039,35.695338693950994,44,85.88969441466875
184161,212.6788380808764,1.0,431,25.533561311534065,81.3953586881929,35.64223296241348,45,85.12103219307376
188169,212.2213319944225,1.0,419,24.594548307974655,83.83605152364804,35.97325231038764,46,87.76112527845308
192179,221.65604375441492,1.0,402,29.594387880901234,87.19113443948213,35.58599025948283,47,91.58098231395819
196184,213.24721053126572,1.0,409,29.615779410322858,85.62832780179654,35.49944714632036,48,89.8659637504605
200193,304.3479059183975,1.0,400,32.01364319569349,87.5138635590981,35.643130423922635,49,92.00950480616164
204201,249.0704880426061,1.0,396,31.279891144728417,88.35937221319027,35.94967516587887,50,92.91806697325936
208206,249.87451597334106,1.0,385,31.374281571604943,90.76967093178389,35.990468767803506,51,95.57392878985367
212214,222.55733398675568,1.0,388,30.25545353825417,90.19109179021588,35.54784002033209,52,94.90053887343976
216219,259.595633027445,1.0,385,31.761088094399657,90.73966022474671,35.84893163206176,53,95.55240872406715
220221,202.66392754321868,1.0,406,26.934146998886533,86.30325860018687,35.84008215489676,54,90.5261115532344
224224,240.9841418931854,1.0,391,27.79618279711633,89.49383991571149,35.72625166185796,55,94.05603955253115
228225,259.50492495007904,1.0,387,31.822276857814273,90.24433962788551,35.928852534808826,56,95.00677896066993
232230,239.71921966731966,1.0,381,30.88524471045985,91.69131731379186,35.851178922137365,57,96.5756611677265
236235,231.61178318321092,1.0,379,32.86147179979941,92.1079538059445,36.0136239030802,58,97.10127604512448
240239,228.91155856054488,1.0,383,29.820521037312435,91.2742370422944,35.57407421649263,59,96.0798870001801
