Evaluation/Iteration,Evaluation/StdReturn,Evaluation/AverageReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,Evaluation/MinReturn,Evaluation/NumEpisodes
32,29.719392267929695,95.13075122786925,132186,1.0,90.41468940397044,203.21154061187454,35.58194452038913,387
33,31.475343256854156,95.52961291365185,136188,1.0,90.72915673019544,286.95141531602474,45.26695991590225,385
34,31.08401914151959,96.09937150785551,140193,1.0,91.25634861583012,268.229301914214,53.987989975594814,383
35,30.509855224671067,96.57872873447934,144208,1.0,91.70580570414155,230.53855972136367,44.52733481461704,382
36,31.158623666824383,98.20301331149463,148216,1.0,93.15690150985324,285.9597449719985,35.81887245019878,375
37,33.13585808076096,97.80508358675964,152216,1.0,92.74033035827492,334.09546136072396,35.86802152080913,376
38,31.829095767203405,99.48375162861915,156220,1.0,94.29201563203225,194.5028979786638,44.52871860168616,370
39,32.07081709896053,98.46126153425416,160227,1.0,93.36297859600683,240.68025765190268,54.13241074319196,374
40,26.79145540389818,95.25669132730773,164228,1.0,90.60981531055211,221.7503345754141,45.11599139335013,386
41,28.56142657374239,95.79237549436932,168229,1.0,91.05052743979554,222.1151728040562,44.55474333878984,384
42,28.28702708484926,95.49671166260444,172230,1.0,90.78708841810094,201.95336709589577,44.849916480379214,385
43,29.684143954171,94.98284363877787,176231,1.0,90.2830310583397,258.1068255623005,35.625773668414816,387
44,30.973972195329296,96.5919946402817,180236,1.0,91.7040980492201,238.0352130501481,36.017242728806266,381
45,27.528118686695834,92.1856671684165,184241,1.0,87.79935311678786,221.99229538811426,35.89701930511921,399
46,27.76199481141981,94.92656920240115,188250,1.0,90.28394035448953,220.81862404182107,54.32254728106147,388
47,28.09480999236882,95.5739734567534,192252,1.0,90.86429364201027,211.79705316798953,35.7721826568501,385
48,28.678851974629985,96.55895448451227,196255,1.0,91.74034824672087,231.79991157289894,44.56209151629108,381
49,31.575298516680586,97.39921988098791,200261,1.0,92.41706662521933,266.9947380173615,35.71175165343297,378
50,29.722024161984987,96.66109560826,204267,1.0,91.80366504143066,222.49590385912023,35.79951916733813,381
51,29.04663096432831,98.62167569596953,208267,1.0,93.59813169655693,249.95667501213143,54.34032539903189,373
52,30.38378164232849,97.66579373360086,212271,1.0,92.69429351688888,239.48591514984918,44.9296724115646,377
53,29.95337165021703,97.13425593319819,216274,1.0,92.22994457595298,315.12486153921856,54.08467860686736,379
54,33.07356214557126,99.79427214002962,220279,1.0,94.53840964166429,268.99791956605725,54.0258254158878,369
55,35.28531012970902,100.79237845475885,224279,1.0,95.3687375504631,321.75993325173727,44.92010665820203,365
56,32.7933290187656,100.00663811685511,228280,1.0,94.73916574049014,230.51668495944818,44.589508019234344,368
57,31.402337247162194,98.27591502682779,232289,1.0,93.21669407071764,258.0254163196058,35.97753836432597,375
58,28.29613020148058,99.56931212711123,236295,1.0,94.47229968158123,211.8306065408944,54.47382045611265,370
59,30.02068906276761,98.93805944297544,240306,1.0,93.85843670089328,259.0739274321952,54.47601462936061,373
