Evaluation/AverageDiscountedReturn,Evaluation/Iteration,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/AverageReturn,Evaluation/StdReturn,Evaluation/TerminationRate,Evaluation/NumEpisodes,Evaluation/MinReturn
76.25750567589915,32,211.99444051501274,132123,79.52948804606922,25.29569728924917,1.0,461,35.54448548244984
78.4431590567582,33,222.28745087123568,136128,81.90099004847036,25.27989737701919,1.0,448,35.67898636948107
76.77431965932102,34,194.14687075956255,140131,80.0587700637722,24.120151761870304,1.0,458,35.54674984990191
78.19594691579529,35,194.48001479031484,144131,81.63388334638987,25.37027320993574,1.0,449,26.824214181189618
78.22744317400692,36,212.35883260783064,148134,81.67118438232947,25.454179898802593,1.0,449,35.569182640903236
79.79113125581323,37,203.16642989442994,152146,83.37234303991085,25.478026517219647,1.0,441,35.48495428245367
81.34108733931794,38,295.95641730489723,156147,85.12357270051062,27.802083278598698,1.0,431,35.673996683880425
82.3167493502432,39,194.02349567161016,160148,86.15352628740015,26.545206688430174,1.0,426,35.55623400917252
82.72270351030268,40,203.20270673841046,164160,86.59404080201158,26.40413608415278,1.0,425,35.93635839716227
83.22287034336733,41,220.67795022253122,168160,87.16896368862136,27.426511482271117,1.0,421,26.886049918480815
83.46042685573498,42,268.2827515857638,172165,87.44749859043237,28.054097219317413,1.0,420,35.63735553144047
86.01974182385582,43,241.0115035592027,176178,90.25555067514227,28.265288734289715,1.0,408,35.5186604019646
82.79012122004171,44,230.01603261328216,180187,86.71773382655113,28.18814480221195,1.0,424,35.712663087847865
85.47702221997336,45,313.5418950022454,184189,89.769597469479,31.812222241326705,1.0,409,35.532427982175726
84.77517204131915,46,221.65271314154205,188190,88.90239231244226,28.61482384068847,1.0,413,36.04929894638652
85.53806022962488,47,268.4161793563877,192190,89.77492532848,29.89961315812391,1.0,409,35.59334110236857
85.45874613765717,48,228.27964903553487,196195,89.67094289672993,29.319513981083652,1.0,410,35.42654543531441
85.06039563506688,49,212.99754676530728,200207,89.1584306280615,26.686022107092523,1.0,413,44.517663320847866
86.77393173890502,50,239.21674372819365,204207,91.13083959778643,29.876416390325012,1.0,403,35.86753961187149
84.20791108675724,51,212.97888725468854,208214,88.1945980263884,25.598334112616463,1.0,417,35.61968910530814
87.64714710492872,52,203.5275992067314,212221,92.00078345255505,26.847065206474436,1.0,400,35.76946379125745
89.03878231734782,53,276.89837279288105,216229,93.6629184322541,31.276405484907837,1.0,393,35.73608359399877
88.1854439230061,54,287.0251094634541,220241,92.81479107986337,33.9987266409226,1.0,397,35.918952209425484
88.13508235977247,55,220.14151871740674,224251,92.55649058649331,27.592818068376225,1.0,398,35.49460705990772
88.50068053518511,56,230.73456437813368,228252,93.01366438193175,29.40718225507089,1.0,395,35.677825483683314
89.81356881143581,57,222.22208583346054,232262,94.45657953306363,29.3574627449108,1.0,390,44.744570725702225
90.94656067641517,58,202.97200137943452,236265,95.75059952004356,30.719347532988834,1.0,384,36.10824832758254
89.75443708172308,59,221.5451194947679,240267,94.30855178171753,26.61784058898659,1.0,390,35.8480067515968
