Evaluation/AverageDiscountedReturn,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/MaxReturn,Evaluation/NumEpisodes,Evaluation/TerminationRate,Evaluation/Iteration,TotalEnvSteps,Evaluation/AverageReturn
68.26003565763307,54.716934017165755,7.720637045894778,91.91545067874299,518,1.0,19,80071,70.59652379904506
70.15954116455393,54.63329786373026,10.02111012448128,184.6035437940063,504,1.0,20,84074,72.65940012198563
70.83525544453389,54.73903690403363,10.783646346529592,174.62507323861473,500,1.0,21,88085,73.39553252393631
69.79348774076115,54.71041096322788,8.53070396490769,110.12304602750773,507,1.0,22,92089,72.25094703204645
71.81467702086289,54.780363838017436,11.163092394687459,203.66828259648508,492,1.0,23,96091,74.45495130851607
72.22024991634355,54.85654009667253,13.465416207354837,192.9011051870752,489,1.0,24,100093,74.92247727556554
72.72090340686763,54.68359609070841,11.681115424815566,193.9916944474878,486,1.0,25,104097,75.43913599091042
72.16680447756279,54.788186076659585,11.610969986219018,182.75426832720345,490,1.0,26,108103,74.84074632493763
72.7444337368496,54.701495895992196,14.90461962534118,239.80576747672112,485,1.0,27,112103,75.5095354874532
73.62922398570902,54.80849093574598,15.1196600302541,221.79966724372002,479,1.0,28,116103,76.46815256211606
73.52617674756534,54.779804373693075,16.57776627315467,220.44078336261205,480,1.0,29,120107,76.38157571428901
73.60449735020082,54.80151274976504,15.471810155894934,183.28488619051066,480,1.0,30,124114,76.44803493848791
73.4052263972274,54.73219267886733,13.587109492706995,182.37043455978392,481,1.0,31,128118,76.20455849440704
72.99007786717293,54.75425466643054,14.495854246986175,211.69315262921373,484,1.0,32,132123,75.7684342581359
73.03990999131003,54.856977739258646,12.315385495345568,166.22311705408734,484,1.0,33,136130,75.79214594693971
72.75249098394013,54.75729923147742,15.668034371839653,210.30751592038578,485,1.0,34,140132,75.53111378040595
72.93688097041151,54.68716224918621,12.908440957681254,175.58399399500482,484,1.0,35,144133,75.68831469255606
74.00734727050843,54.74833938866933,15.111442084865002,193.1500703373427,477,1.0,36,148138,76.87767079588777
72.75422116885873,54.78703122018914,13.636973893589257,183.91900065499183,485,1.0,37,152138,75.50198935418194
73.99572782226791,54.785724460043355,18.09985137226319,296.18377161601023,477,1.0,38,156145,76.91471951200363
72.98193144627474,54.67755493489052,13.518375214324779,193.0009164998855,484,1.0,39,160150,75.74589303964882
72.9015110216472,54.74079929805712,13.901094608678362,173.45864900302004,485,1.0,40,164159,75.66522536675245
73.72661008624924,54.66499127870595,13.206409457764074,156.81106919942397,479,1.0,41,168163,76.54590972352696
73.01674702530366,54.627501585941204,15.088405084694312,212.32641103759377,483,1.0,42,172163,75.8066770963154
72.90266660264082,54.77897609057014,14.312083510070089,193.0750156326417,484,1.0,43,176163,75.67173664890188
72.74974591772376,54.71555830386176,13.633164941948356,183.93764123412933,485,1.0,44,180163,75.4965886020061
72.89576016613861,54.81346818132131,15.374153738648761,210.47136372087476,484,1.0,45,184165,75.68116423656572
73.89360313704218,54.732056763830954,16.095702931066892,230.45393409690266,477,1.0,46,188165,76.77072576199055
73.68057886291724,54.79241888872254,13.860529616621415,174.59971799600794,479,1.0,47,192167,76.5053789013032
73.88965166289617,54.75263080431175,18.200093913577028,238.51107165160863,477,1.0,48,196169,76.8036149236827
72.9141963306428,54.77939680083407,15.126338616472935,184.62690848933994,484,1.0,49,200172,75.69734038844706
73.24935493809095,54.80207951772747,15.058806011794957,212.1720457920043,482,1.0,50,204176,76.0569338734875
73.13405612309175,54.740615912877416,13.909935483893248,175.76903037152317,483,1.0,51,208181,75.91559646092593
71.35514034804982,54.73455912779316,12.64847237444921,201.7131153978105,495,1.0,52,212184,73.97868893719655
71.75852854690267,54.709517687052966,11.16962146375082,128.84346904357304,492,1.0,53,216185,74.39565899230344
71.70850287530644,54.783358299203606,12.11749666822502,166.45015448432338,493,1.0,54,220191,74.35269910549525
71.72458158074288,54.76318474911227,12.555453799409978,182.65748380748875,493,1.0,55,224198,74.37578304582473
71.27484271336962,54.67414224272794,10.310765704415987,119.78623757633683,496,1.0,56,228203,73.8642252168238
70.92366858272756,54.69182034802909,10.392109938366849,119.51570051826691,498,1.0,57,232203,73.48640711041737
72.2687206423002,54.67237492452601,11.786463146961204,174.52131290658906,489,1.0,58,236208,74.95290378444896
72.28110126047662,54.77257095554272,11.777013385680188,165.4165849235161,489,1.0,59,240214,74.96610629735235
