Evaluation/StdReturn,Evaluation/MaxReturn,TotalEnvSteps,Evaluation/TerminationRate,Evaluation/Iteration,Evaluation/AverageDiscountedReturn,Evaluation/AverageReturn,Evaluation/MinReturn,Evaluation/NumEpisodes
27.287639474182285,249.74478842387472,188173,1.0,46,79.12434656762979,82.69556240315788,35.546100794487856,444
27.26788735027472,231.87081365416634,192181,1.0,47,80.94196456858435,84.67501776441182,35.71747968271971,434
27.48849275028097,219.85817899047112,196184,1.0,48,80.40548954251999,84.09807595838005,35.583906999735184,436
27.92874420799193,222.30666097156035,200190,1.0,49,82.15925798066796,86.0214986308786,35.90142476629955,427
22.695051147047074,174.45950289564146,204194,1.0,50,77.6476804486734,80.97210391316632,35.61238599950437,453
26.795241854639034,248.91077553331388,208201,1.0,51,82.01522248312664,85.83210812393294,35.56763561021993,428
28.959095723205827,222.59458771916096,212207,1.0,52,81.60838959926579,85.45038275159251,35.57302567955457,430
29.51458510387994,239.9356122053675,216212,1.0,53,85.01487745409753,89.19215797038406,35.370069152618115,412
29.4710111094927,231.20893458327762,220217,1.0,54,82.69334163191604,86.65031554409856,35.466323325565966,424
28.73366098025314,213.07177539976666,224224,1.0,55,83.11825926992233,87.09367856544505,35.67142187694777,422
25.58164743862674,175.64377276620874,228227,1.0,56,82.37298818222087,86.1900719611488,35.73395527460733,426
27.666024367567342,240.44759437146476,232229,1.0,57,82.09227188519738,85.94023976439594,35.8049708939026,427
28.218426280174352,211.12346772406332,236234,1.0,58,84.87064293923652,88.99361583941607,35.55912696699169,413
27.83857661676155,259.09544159129644,240238,1.0,59,85.08787608011319,89.21792332296151,35.56386436741004,412
